bMeaningText	bMeaningValueMin	bMeaningValueMax	bSelectable	bConditionTableValue
OptionalMfgFunction4	13		true	85
OptionalMfgFunction5	14		true	85
ConnectionToSMBus	15		true	85
OutputConnection	16		true	85
ChargerConnection	17		true	85
BatteryInsertion	18		true	85
Usenext	19		true	85
OKToUse	1A		true	85
Reserved	1B	27	false	85
ManufacturerAccess	28		true	85
RemainingCapacityLimit	29		true	85
RemainingTimeLimit	2A		true	85
AtRate	2B		true	85
CapacityMode	2C		true	85
BroadcastToCharger	2D		true	85
PrimaryBattery	2E		true	85
ChargeController	2F		true	85
Reserved	30	3F	false	85
TerminateCharge	40		true	85
TermminateDischarge	41		true	85
BelowRemainingCapacityLimit	42		true	85
RemainingTimeLimitExpired	43		true	85
Charging	44		true	85
Discharging	45		true	85
FullyCharged	46		true	85
FullyDischarged	47		true	85
ConditionningFlag	48		true	85
AtRateOK	49		true	85
SMBErrorCode	4A		true	85
NeedReplacement	4B		true	85
Reserved	4C	5F	false	85
AtRateTimeToFull	60		true	85
AtRateTimeToEmpty	61		true	85
AverageCurrent	62		true	85
Maxerror	63		true	85
RelativeStateOfCharge	64		true	85
AbsoluteStateOfCharge	65		true	85
RemainingCapacity	66		true	85
FullChargeCapacity	67		true	85
RunTimeToEmpty	68		true	85
AverageTimeToEmpty	69		true	85
AverageTimeToFull	6A		true	85
CycleCount	6B		true	85
Reserved	6C	7F	false	85
BattPackModelLevel	80		true	85
InternalChargeController	81		true	85
PrimaryBatterySupport	82		true	85
DesignCapacity	83		true	85
SpecificationInfo	84		true	85
ManufacturerDate	85		true	85
SerialNumber	86		true	85
iManufacturerName	87		true	85
iDevicename	88		true	85
iDeviceChemistery	89		true	85
iManufacturerData	8A		true	85
Rechargeable	8B		true	85
WarningCapacityLimit	8C		true	85
CapacityGranularity1	8D		true	85
CapacityGranularity2	8E		true	85
Reserved	8F	BF	false	85
InhibitCharge	C0		true	85
EnablePolling	C1		true	85
ResetToZero	C2		true	85
Reserved	C3	CF	false	85
ACPresent	D0		true	85
BatteryPresent	D1		true	85
PowerFail	D2		true	85
AlarmInhibited	D3		true	85
ThermistorUnderRange	D4		true	85
ThermistorHot	D5		true	85
ThermistorCold	D6		true	85
ThermistorOverRange	D7		true	85
VoltageOutOfRange	D8		true	85
CurrentOutOfRange	D9		true	85
CurrentNotRegulated	DA		true	85
VoltageNotRegulated	DB		true	85
MasterMode	DC		true	85
ChargerBattery/HostControlled	DD		true	85
Reserved	DE	EF	false	85
ChargerSpecInfo	F0		true	85
ChargerSpecRef	F1		true	85
Level2	F2		true	85
Level3	F3		true	85
Reserved	F2	FFFF	false	85
