bMeaningText	bMeaningValueMin	bMeaningValueMax	bSelectable
Generic Desktop	1		1
Simulation Controls	2		1
VR Controls	3		1
Sports Controls	4		1
Gaming Controls	5		1
Keyboard	7		1
Leds	8		1
Button	9		1
Ordinals	A		1
Telephony	B		1
Consumer	C		1
Digitizers	D		1
Unicode	10		1
Alphanumeric Display	14		1
Monitor	80		1
Monitor Enumerated Values	81		1
VESA Virtual Controls	82		1
VESA Command	83		1
Power Device	84		1
Battery System	85		1
